101 findings in prompts.md

vendor/community-patterns/README.md:272:15 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/community-patterns/README.md:275:130 error MD055/table-pipe-style Table pipe style [Expected: leading_and_trailing; Actual: leading_only; Missing trailing pipe]

vendor/community-patterns/README.md:280:8 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/community-patterns/README.md:280:15 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/community-patterns/README.md:280:29 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/community-patterns/README.md:280:1 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/community-patterns/README.md:280:8 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/community-patterns/README.md:280:15 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/community-patterns/README.md:289:8 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/community-patterns/README.md:289:15 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/community-patterns/README.md:289:29 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/community-patterns/README.md:289:1 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/community-patterns/README.md:289:8 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/community-patterns/README.md:289:15 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/community-patterns/README.md:317:163 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]

vendor/community-patterns/README.md:318:163 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]

vendor/community-patterns/README.md:330:17 error MD060/table-column-style Table column style [Table pipe does not align with header for style "aligned"]

vendor/community-patterns/README.md:330:66 error MD060/table-column-style Table column style [Table pipe does not align with header for style "aligned"]

